time,node,protocol,latency_ms,jitter_ms,packet_status,collision,distance_m,snr_db,deadline_500ms,deadline_1000ms,num_nodes,farm_radius
75,5,LoRaWAN,183.905,90.6377,DELIVERED,0,94,58.6683,1,1,10,100
80,6,LoRaWAN,267.943,84.0373,DELIVERED,0,3,99.9382,1,1,10,100
85,7,LoRaWAN,193.157,74.7855,DELIVERED,0,74,61.7482,1,1,10,100
90,8,LoRaWAN,150.377,42.7799,DELIVERED,0,48,67.2941,1,1,10,100
95,9,LoRaWAN,239.739,89.3614,DELIVERED,0,27,74.5853,1,1,10,100
100,0,LoRaWAN,251.33,11.5916,DELIVERED,0,45,68.1173,1,1,10,100
105,1,LoRaWAN,289.518,38.1882,DELIVERED,0,46,67.8371,1,1,10,100
110,2,LoRaWAN,263.328,26.19,DELIVERED,0,34,71.678,1,1,10,100
115,3,LoRaWAN,172.382,90.9469,DELIVERED,0,4,97.0309,1,1,10,100
120,4,LoRaWAN,183.134,10.7528,DELIVERED,0,74,61.7482,1,1,10,100
125,5,LoRaWAN,230.772,47.6376,DELIVERED,0,76,61.4053,1,1,10,100
130,6,LoRaWAN,212.866,17.906,DELIVERED,0,42,68.9959,1,1,10,100
135,7,LoRaWAN,217.154,4.28831,DELIVERED,0,4,97.0309,1,1,10,100
140,8,LoRaWAN,276.909,59.7549,DELIVERED,0,16,81.0865,1,1,10,100
145,9,LoRaWAN,242.332,34.5775,DELIVERED,0,91,59.0864,1,1,10,100
150,0,LoRaWAN,161.267,81.0643,DELIVERED,0,14,82.7173,1,1,10,100
155,1,LoRaWAN,136.813,24.4546,DELIVERED,0,34,71.678,1,1,10,100
160,2,LoRaWAN,139.346,2.53375,DELIVERED,0,12,84.5817,1,1,10,100
165,3,LoRaWAN,285.311,145.964,DELIVERED,0,17,80.3418,1,1,10,100
170,4,LoRaWAN,232.83,52.4814,DELIVERED,0,84,60.1174,1,1,10,100
175,5,LoRaWAN,111.753,121.077,DELIVERED,0,1,108.969,1,1,10,100
180,6,LoRaWAN,249.879,138.127,DELIVERED,0,89,59.3727,1,1,10,100
185,7,LoRaWAN,169.741,80.1386,DELIVERED,0,57,65.0972,1,1,10,100
190,8,LoRaWAN,307.031,137.29,DELIVERED,0,41,69.3025,1,1,10,100
195,9,LoRaWAN,253.408,53.6225,DELIVERED,0,84,60.1174,1,1,10,100
200,0,LoRaWAN,280.206,26.7976,DELIVERED,0,45,68.1173,1,1,10,100
205,1,LoRaWAN,238.719,41.4869,DELIVERED,0,56,65.3238,1,1,10,100
210,2,LoRaWAN,128.147,110.571,DELIVERED,0,51,66.5199,1,1,10,100
215,3,LoRaWAN,263.505,135.358,DELIVERED,0,29,73.6864,1,1,10,100
220,4,LoRaWAN,284.578,21.0731,DELIVERED,0,93,58.8062,1,1,10,100
225,5,LoRaWAN,251.229,33.3489,DELIVERED,0,85,59.965,1,1,10,100
230,6,LoRaWAN,281.902,30.6725,DELIVERED,0,21,77.7273,1,1,10,100
235,7,LoRaWAN,170.064,111.838,DELIVERED,0,87,59.6655,1,1,10,100
240,8,LoRaWAN,207.931,37.867,DELIVERED,0,71,62.28,1,1,10,100
245,9,LoRaWAN,231.253,23.322,DELIVERED,0,25,75.5508,1,1,10,100
250,0,LoRaWAN,251.014,19.7612,DELIVERED,0,90,59.2288,1,1,10,100
255,1,LoRaWAN,247.897,3.11682,DELIVERED,0,8,89.3727,1,1,10,100
260,2,LoRaWAN,319.596,71.6991,DELIVERED,0,55,65.5544,1,1,10,100
265,3,LoRaWAN,296.274,23.3224,DELIVERED,0,98,58.1309,1,1,10,100
270,4,LoRaWAN,266.291,29.9828,DELIVERED,0,26,75.0591,1,1,10,100
275,5,LoRaWAN,168.506,97.7855,DELIVERED,0,95,58.5319,1,1,10,100
280,6,LoRaWAN,239.417,70.9119,DELIVERED,0,64,63.6126,1,1,10,100
285,7,LoRaWAN,188.383,51.0343,DELIVERED,0,55,65.5544,1,1,10,100
290,8,LoRaWAN,285.553,97.1697,DELIVERED,0,9,88,1,1,10,100
295,9,LoRaWAN,175.621,109.932,DELIVERED,0,40,69.6165,1,1,10,100
300,0,LoRaWAN,181.541,5.91979,DELIVERED,0,39,69.9382,1,1,10,100
305,1,LoRaWAN,112.557,68.9834,DELIVERED,0,17,80.3418,1,1,10,100
310,2,LoRaWAN,281.68,169.122,DELIVERED,0,94,58.6683,1,1,10,100
315,3,LoRaWAN,131.715,149.965,DELIVERED,0,1,108.969,1,1,10,100
320,4,LoRaWAN,152.66,20.9452,DELIVERED,0,95,58.5319,1,1,10,100
325,5,LoRaWAN,295.14,142.48,DELIVERED,0,8,89.3727,1,1,10,100
330,6,LoRaWAN,266.225,28.915,DELIVERED,0,90,59.2288,1,1,10,100
335,7,LoRaWAN,267.226,1.00099,DELIVERED,0,41,69.3025,1,1,10,100
340,8,LoRaWAN,211.54,55.6854,DELIVERED,0,77,61.2372,1,1,10,100
345,9,LoRaWAN,130.156,81.3841,DELIVERED,0,85,59.965,1,1,10,100
350,0,LoRaWAN,194.313,64.157,DELIVERED,0,11,85.6246,1,1,10,100
355,1,LoRaWAN,256.165,61.8518,DELIVERED,0,35,71.3109,1,1,10,100
360,2,LoRaWAN,254.085,2.07969,DELIVERED,0,64,63.6126,1,1,10,100
365,3,LoRaWAN,189.274,64.8111,DELIVERED,0,67,63.0247,1,1,10,100
370,4,LoRaWAN,269.896,80.6222,DELIVERED,0,44,68.4036,1,1,10,100
375,5,LoRaWAN,203.052,66.844,DELIVERED,0,73,61.923,1,1,10,100
380,6,LoRaWAN,269.511,66.4588,DELIVERED,0,19,78.9691,1,1,10,100
385,7,LoRaWAN,195.696,73.8146,DELIVERED,0,72,62.1003,1,1,10,100
390,8,LoRaWAN,156.6,39.0962,DELIVERED,0,97,58.2632,1,1,10,100
395,9,LoRaWAN,250.342,93.7416,DELIVERED,0,34,71.678,1,1,10,100
400,0,LoRaWAN,152.47,97.8721,DELIVERED,0,59,64.6555,1,1,10,100
405,1,LoRaWAN,277.72,125.251,DELIVERED,0,15,81.8764,1,1,10,100
