time,node,species,actual_x,actual_y,actual_z,est_x,est_y,est_z,error_m,temp_c,do_mgl,ph,toa_h1,toa_h2,toa_h3,toa_h4
10,49,Tilapia,-176.235,294.966,-0.262587,-176.259,294.903,0,0.0673606,22.2521,5.85824,7.99801,0.529107,0.648849,0.209795,0.430139
10,50,Tilapia,134.264,-429.509,-1.17609,134.205,-429.472,0,0.0694018,22.0742,5.81087,7.99512,0.389719,0.211002,0.703945,0.622928
10,51,Tilapia,182.543,409.664,-1.9645,182.59,409.536,0,0.136901,22.1265,5.85679,8.00015,0.711528,0.600178,0.422644,0.180338
10,52,Tilapia,368.699,-134.916,-0.388587,368.662,-134.968,0,0.0643686,22.2649,5.8683,7.98289,0.584811,0.216969,0.670909,0.393699
10,53,Tilapia,-195.731,-405.168,-2.177,-195.689,-405.32,0,0.156934,22.0427,5.76315,7.99218,0.172125,0.431493,0.594898,0.714405
15,4,Tilapia,-149.73,-88.023,-0.876521,-149.748,-88.0365,0,0.0224092,22.2625,5.70972,7.98893,0.313533,0.467064,0.410814,0.537099
15,5,Tilapia,413.658,177.166,-1.01269,413.586,177.197,0,0.0782885,22.1094,5.70797,8.01349,0.711594,0.418862,0.603778,0.183551
15,6,Tilapia,-363.458,265.338,-0.739778,-363.409,265.309,0,0.0564939,22.2529,5.80863,8.01142,0.480389,0.72213,0.136014,0.556134
15,7,Tilapia,259,-368.001,-0.944416,259.033,-367.92,0,0.0878621,22.2707,5.78341,7.99247,0.475896,0.138619,0.721675,0.560007
15,8,Tilapia,-89.8457,-344.053,-1.15616,-89.809,-344.065,0,0.0384581,21.9944,5.70188,7.99613,0.250287,0.366727,0.581283,0.640104
15,9,Tilapia,-169.335,309.151,-0.655541,-169.334,309.218,0,0.066492,21.9396,5.60929,7.99481,0.539656,0.653173,0.209343,0.423485
15,10,Tilapia,-438.696,-30.9359,-1.43796,-438.639,-30.8881,0,0.0738355,22.218,5.7663,8.00283,0.279539,0.654998,0.320691,0.673677
15,11,Tilapia,37.1781,401.623,-0.637605,37.1314,401.496,0,0.135595,21.9483,5.94181,8.00478,0.654038,0.630927,0.326409,0.27718
15,12,Tilapia,62.0664,46.0623,-0.893023,62.0993,46.2018,0,0.143348,22.059,5.80388,7.99742,0.475363,0.419848,0.434728,0.373293
15,13,Tilapia,-173.558,213.184,-1.42867,-173.541,213.157,0,0.0319743,22.1053,5.75494,8.01501,0.479016,0.606825,0.242703,0.444738
15,14,Tilapia,-163.651,-309.43,-1.08044,-163.621,-309.507,0,0.0828392,21.9775,5.77614,8.00435,0.212648,0.419713,0.541203,0.650839
15,15,Tilapia,-332.063,-316.42,-0.654778,-332.134,-316.413,0,0.0722062,22.0853,5.87541,8.0127,0.118748,0.528953,0.516928,0.730013
15,16,Tilapia,181.982,-410.341,-1.98292,181.991,-410.236,0,0.105536,22.1637,5.77209,7.9875,0.422189,0.180641,0.711605,0.600746
